feature,importance,type
B02_Blue_std,0.08364181312003048,RGB
B10_Cirrus_mean,0.052588831233705516,non-RGB
B03_Green_std,0.051336683122378074,RGB
B12_SWIR2_mean,0.04897821813765611,non-RGB
B01_Aerosol_std,0.04354363611316928,non-RGB
B04_Red_std,0.04328703839796852,RGB
B08_NIR_std,0.043130388320725,non-RGB
B12_SWIR2_std,0.041320479907799856,non-RGB
B08_NIR_mean,0.04024183407023308,non-RGB
B08A_RedEdge4_mean,0.038979636397269285,non-RGB
NDWI_mean,0.03735220667689299,non-RGB
B10_Cirrus_std,0.03702657786413196,non-RGB
B07_RedEdge3_mean,0.03337595016575995,non-RGB
NDVI_mean,0.03277699128556711,non-RGB
B11_SWIR1_mean,0.031680848281123775,non-RGB
B04_Red_mean,0.030854339694561996,RGB
B07_RedEdge3_std,0.030479069198562126,non-RGB
NDBI_mean,0.028855283988472216,non-RGB
B05_RedEdge1_std,0.0286287011548764,non-RGB
B06_RedEdge2_mean,0.02759920498208131,non-RGB
B06_RedEdge2_std,0.027066892409657328,non-RGB
B11_SWIR1_std,0.025496081321887923,non-RGB
B05_RedEdge1_mean,0.024188346376835552,non-RGB
B09_WaterVapour_mean,0.022219809257329564,non-RGB
B01_Aerosol_mean,0.021876187029819246,non-RGB
B03_Green_mean,0.02148203693639515,RGB
B02_Blue_mean,0.0194211429638303,RGB
B08A_RedEdge4_std,0.01813487717941557,non-RGB
B09_WaterVapour_std,0.01443689441186432,non-RGB
